what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419839473877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419839476949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419839477189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419839477462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419839480957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419839481300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840160871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419840162121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840162551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840163486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840163788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840178542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840178962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840179679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1419840186081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840186361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419840189303
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419840193147
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419840198833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1419840204097
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1419840212001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1419840213944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1419840214957
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1419840216153
