0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:14:19 +0530] "GET /BaitAlarms/pages/login.jsp HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:14:45 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:14:50 +0530] "GET /BaitAlarms/pages/inbox.jsp HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:15:43 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:15:54 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=982 HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:07 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.axisbank.com/axis HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:26 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:28 +0530] "GET /BaitAlarms/pages/phishing.jsp?url=http://www.axisbank.com/axis HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:29 +0530] "GET /BaitAlarms/pages/images/bg.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:39 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:41 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:49 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=978 HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:49 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=978 HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:16:51 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=978 HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:17:51 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=980 HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:17:54 +0530] "GET /BaitAlarms/pages/showMessage.jsp?index=979 HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:18:08 +0530] "GET /BaitAlarms/pages/check.jsp?redirect=1&url=http://www.icicibank.com/icici HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:18:18 +0530] "POST /BaitAlarms/theme/tiles/ajax.jsp?methodId=checkSite HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:18:21 +0530] "GET /BaitAlarms/pages/phishing.jsp?url=http://www.icicibank.com/icici HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [05/Jun/2016:12:18:21 +0530] "GET /BaitAlarms/pages/images/bg.jpg HTTP/1.1" 404 1011
